Epoch: 25, Step: 1000, In Loss: 2.0283230, Out Loss: 2.0601810, In Acc: 24.120, Out Acc: 23.450
Epoch: 50, Step: 2000, In Loss: 1.8982591, Out Loss: 1.9566844, In Acc: 29.790, Out Acc: 28.430
Epoch: 75, Step: 3000, In Loss: 1.9182066, Out Loss: 2.0027651, In Acc: 31.570, Out Acc: 29.950
Epoch: 100, Step: 4000, In Loss: 1.6042009, Out Loss: 1.7424872, In Acc: 40.560, Out Acc: 37.480
Epoch: 125, Step: 5000, In Loss: 1.4979034, Out Loss: 1.6813333, In Acc: 45.390, Out Acc: 40.530
Epoch: 150, Step: 6000, In Loss: 1.5284861, Out Loss: 1.7607707, In Acc: 45.120, Out Acc: 39.030
Epoch: 175, Step: 7000, In Loss: 1.3054019, Out Loss: 1.6021444, In Acc: 52.800, Out Acc: 43.320
Epoch: 200, Step: 8000, In Loss: 1.2176677, Out Loss: 1.5839668, In Acc: 56.020, Out Acc: 44.180
Epoch: 225, Step: 9000, In Loss: 1.1422322, Out Loss: 1.5736955, In Acc: 58.680, Out Acc: 44.990
Epoch: 250, Step: 10000, In Loss: 1.0660469, Out Loss: 1.5867389, In Acc: 61.280, Out Acc: 45.510
Epoch: 275, Step: 11000, In Loss: 0.9505847, Out Loss: 1.5672874, In Acc: 66.340, Out Acc: 46.930
Epoch: 300, Step: 12000, In Loss: 0.8980147, Out Loss: 1.5893438, In Acc: 68.030, Out Acc: 47.260
Epoch: 325, Step: 13000, In Loss: 0.8474251, Out Loss: 1.6025277, In Acc: 70.000, Out Acc: 47.220
Epoch: 350, Step: 14000, In Loss: 0.7999372, Out Loss: 1.6377564, In Acc: 71.470, Out Acc: 47.320
Epoch: 375, Step: 15000, In Loss: 0.7659546, Out Loss: 1.7266705, In Acc: 72.540, Out Acc: 46.230
Epoch: 400, Step: 16000, In Loss: 0.6699301, Out Loss: 1.7401311, In Acc: 76.490, Out Acc: 46.580
Epoch: 425, Step: 17000, In Loss: 0.5862881, Out Loss: 1.7721121, In Acc: 80.130, Out Acc: 47.010
Epoch: 450, Step: 18000, In Loss: 0.4801120, Out Loss: 1.7831631, In Acc: 85.130, Out Acc: 47.300
Epoch: 475, Step: 19000, In Loss: 0.4637038, Out Loss: 1.8674512, In Acc: 84.990, Out Acc: 47.330
Epoch: 500, Step: 20000, In Loss: 0.3681865, Out Loss: 1.8805170, In Acc: 88.590, Out Acc: 47.260
Epoch: 525, Step: 21000, In Loss: 0.2770237, Out Loss: 1.9223814, In Acc: 91.950, Out Acc: 47.860
Epoch: 550, Step: 22000, In Loss: 0.2093996, Out Loss: 1.9409621, In Acc: 94.880, Out Acc: 48.700
Epoch: 575, Step: 23000, In Loss: 0.1813901, Out Loss: 2.0546286, In Acc: 95.370, Out Acc: 48.520
Epoch: 600, Step: 24000, In Loss: 0.1565787, Out Loss: 2.0695939, In Acc: 96.330, Out Acc: 48.850
Epoch: 625, Step: 25000, In Loss: 0.1399207, Out Loss: 2.1241212, In Acc: 96.830, Out Acc: 48.100
Epoch: 650, Step: 26000, In Loss: 0.1195554, Out Loss: 2.1630648, In Acc: 97.340, Out Acc: 48.160
Epoch: 675, Step: 27000, In Loss: 0.1128412, Out Loss: 2.2223343, In Acc: 97.440, Out Acc: 48.300
Epoch: 700, Step: 28000, In Loss: 0.0996859, Out Loss: 2.2512725, In Acc: 97.640, Out Acc: 48.440
Epoch: 725, Step: 29000, In Loss: 0.0969997, Out Loss: 2.3193989, In Acc: 97.870, Out Acc: 47.800
Epoch: 750, Step: 30000, In Loss: 0.1020316, Out Loss: 2.4119236, In Acc: 97.090, Out Acc: 48.050
Epoch: 775, Step: 31000, In Loss: 0.0543864, Out Loss: 2.2471592, In Acc: 99.220, Out Acc: 49.030
Epoch: 800, Step: 32000, In Loss: 0.0464084, Out Loss: 2.3068124, In Acc: 99.300, Out Acc: 48.620
Epoch: 825, Step: 33000, In Loss: 0.0444328, Out Loss: 2.3177695, In Acc: 99.220, Out Acc: 48.810
Epoch: 850, Step: 34000, In Loss: 0.0390166, Out Loss: 2.2886137, In Acc: 99.430, Out Acc: 49.330
Epoch: 875, Step: 35000, In Loss: 0.0373263, Out Loss: 2.3082510, In Acc: 99.430, Out Acc: 49.180
Epoch: 900, Step: 36000, In Loss: 0.0369454, Out Loss: 2.3442872, In Acc: 99.440, Out Acc: 48.850
Epoch: 925, Step: 37000, In Loss: 0.0340327, Out Loss: 2.3336655, In Acc: 99.500, Out Acc: 49.480
Epoch: 950, Step: 38000, In Loss: 0.0318210, Out Loss: 2.3333052, In Acc: 99.520, Out Acc: 49.160
