Epoch: 25, Step: 1000, In Loss: 1.9444335, Out Loss: 1.9746541, In Acc: 25.270, Out Acc: 24.860
Epoch: 50, Step: 2000, In Loss: 1.8925170, Out Loss: 1.9411799, In Acc: 28.510, Out Acc: 27.280
Epoch: 75, Step: 3000, In Loss: 1.7938198, Out Loss: 1.8690468, In Acc: 32.280, Out Acc: 30.560
Epoch: 100, Step: 4000, In Loss: 1.6339761, Out Loss: 1.7489826, In Acc: 39.740, Out Acc: 36.840
Epoch: 125, Step: 5000, In Loss: 1.5195655, Out Loss: 1.6808650, In Acc: 44.910, Out Acc: 40.230
Epoch: 150, Step: 6000, In Loss: 1.4535021, Out Loss: 1.6602937, In Acc: 46.820, Out Acc: 40.970
Epoch: 175, Step: 7000, In Loss: 1.3472357, Out Loss: 1.6050743, In Acc: 51.100, Out Acc: 43.430
Epoch: 200, Step: 8000, In Loss: 1.2938964, Out Loss: 1.6034483, In Acc: 53.880, Out Acc: 43.720
Epoch: 225, Step: 9000, In Loss: 1.2027896, Out Loss: 1.5962042, In Acc: 56.410, Out Acc: 44.090
Epoch: 250, Step: 10000, In Loss: 1.0783951, Out Loss: 1.5566166, In Acc: 61.410, Out Acc: 45.980
Epoch: 275, Step: 11000, In Loss: 1.0001710, Out Loss: 1.5563820, In Acc: 64.290, Out Acc: 46.930
Epoch: 300, Step: 12000, In Loss: 0.9500342, Out Loss: 1.5623404, In Acc: 66.250, Out Acc: 47.030
Epoch: 325, Step: 13000, In Loss: 0.8959463, Out Loss: 1.5686047, In Acc: 68.750, Out Acc: 47.140
Epoch: 350, Step: 14000, In Loss: 0.8371272, Out Loss: 1.5883004, In Acc: 70.470, Out Acc: 47.440
Epoch: 375, Step: 15000, In Loss: 0.7817254, Out Loss: 1.6367481, In Acc: 72.450, Out Acc: 47.100
Epoch: 400, Step: 16000, In Loss: 0.7006872, Out Loss: 1.6466482, In Acc: 75.860, Out Acc: 47.300
Epoch: 425, Step: 17000, In Loss: 0.6244769, Out Loss: 1.6323404, In Acc: 79.790, Out Acc: 47.750
Epoch: 450, Step: 18000, In Loss: 0.5385178, Out Loss: 1.6997158, In Acc: 82.910, Out Acc: 47.890
Epoch: 475, Step: 19000, In Loss: 0.5202273, Out Loss: 1.6728340, In Acc: 83.880, Out Acc: 48.350
Epoch: 500, Step: 20000, In Loss: 0.4838674, Out Loss: 1.7185835, In Acc: 86.060, Out Acc: 47.680
Epoch: 525, Step: 21000, In Loss: 0.3254790, Out Loss: 1.7775974, In Acc: 90.580, Out Acc: 48.740
Epoch: 550, Step: 22000, In Loss: 0.2783543, Out Loss: 1.8108098, In Acc: 92.940, Out Acc: 48.600
Epoch: 575, Step: 23000, In Loss: 0.2548287, Out Loss: 1.8859335, In Acc: 93.270, Out Acc: 48.180
Epoch: 600, Step: 24000, In Loss: 0.2301048, Out Loss: 1.9108334, In Acc: 93.670, Out Acc: 48.510
Epoch: 625, Step: 25000, In Loss: 0.1945747, Out Loss: 1.9388027, In Acc: 95.010, Out Acc: 48.650
Epoch: 650, Step: 26000, In Loss: 0.1725483, Out Loss: 1.9650224, In Acc: 95.670, Out Acc: 49.060
Epoch: 675, Step: 27000, In Loss: 0.1522092, Out Loss: 1.9927921, In Acc: 96.370, Out Acc: 48.570
Epoch: 700, Step: 28000, In Loss: 0.1348906, Out Loss: 2.0381568, In Acc: 97.030, Out Acc: 48.790
Epoch: 725, Step: 29000, In Loss: 0.1291425, Out Loss: 2.0853586, In Acc: 96.830, Out Acc: 48.560
Epoch: 750, Step: 30000, In Loss: 0.1227053, Out Loss: 2.1649628, In Acc: 96.820, Out Acc: 48.340
Epoch: 775, Step: 31000, In Loss: 0.0878107, Out Loss: 2.1273698, In Acc: 98.370, Out Acc: 48.590
Epoch: 800, Step: 32000, In Loss: 0.0838577, Out Loss: 2.1102097, In Acc: 98.370, Out Acc: 48.460
Epoch: 825, Step: 33000, In Loss: 0.0734148, Out Loss: 2.1233026, In Acc: 98.590, Out Acc: 49.010
Epoch: 850, Step: 34000, In Loss: 0.0750304, Out Loss: 2.1212042, In Acc: 98.660, Out Acc: 48.650
Epoch: 875, Step: 35000, In Loss: 0.0661579, Out Loss: 2.1386228, In Acc: 98.770, Out Acc: 48.740
Epoch: 900, Step: 36000, In Loss: 0.0600051, Out Loss: 2.1725286, In Acc: 98.990, Out Acc: 48.840
Epoch: 925, Step: 37000, In Loss: 0.0576441, Out Loss: 2.1638990, In Acc: 99.040, Out Acc: 48.710
Epoch: 950, Step: 38000, In Loss: 0.0535769, Out Loss: 2.1867709, In Acc: 99.030, Out Acc: 48.810
