==================================== Fitting DCLF ====================================
Epoch: 1300, Step: 52000, In Loss: 0.0127202, Out Loss: 2.6584373, In Acc: 99.890, Out Acc: 48.970
Epoch: 1325, Step: 53000, In Loss: 0.0124014, Out Loss: 2.6674897, In Acc: 99.890, Out Acc: 49.280
Epoch: 1350, Step: 54000, In Loss: 0.0117820, Out Loss: 2.6612221, In Acc: 99.890, Out Acc: 49.060
Epoch: 1375, Step: 55000, In Loss: 0.0118723, Out Loss: 2.6799909, In Acc: 99.900, Out Acc: 49.210
Epoch: 1400, Step: 56000, In Loss: 0.0122215, Out Loss: 2.6595482, In Acc: 99.930, Out Acc: 49.120
Epoch: 1425, Step: 57000, In Loss: 0.0122332, Out Loss: 2.6758842, In Acc: 99.930, Out Acc: 49.110
Epoch: 1450, Step: 58000, In Loss: 0.0113264, Out Loss: 2.6433376, In Acc: 99.910, Out Acc: 48.930
Epoch: 1475, Step: 59000, In Loss: 0.0113085, Out Loss: 2.6639822, In Acc: 99.910, Out Acc: 49.060
Epoch: 1500, Step: 60000, In Loss: 0.0113284, Out Loss: 2.6899504, In Acc: 99.910, Out Acc: 48.900
Epoch: 1525, Step: 61000, In Loss: 0.0105405, Out Loss: 2.6505725, In Acc: 99.910, Out Acc: 49.030
Epoch: 1550, Step: 62000, In Loss: 0.0105732, Out Loss: 2.6467812, In Acc: 99.910, Out Acc: 49.140
Epoch: 1575, Step: 63000, In Loss: 0.0106128, Out Loss: 2.6502756, In Acc: 99.890, Out Acc: 48.930
Epoch: 1600, Step: 64000, In Loss: 0.0105182, Out Loss: 2.6439216, In Acc: 99.900, Out Acc: 48.990
Epoch: 1625, Step: 65000, In Loss: 0.0104040, Out Loss: 2.6504728, In Acc: 99.900, Out Acc: 49.110
Epoch: 1650, Step: 66000, In Loss: 0.0102512, Out Loss: 2.6522427, In Acc: 99.900, Out Acc: 49.100
Epoch: 1675, Step: 67000, In Loss: 0.0102628, Out Loss: 2.6592009, In Acc: 99.910, Out Acc: 49.080
Epoch: 1700, Step: 68000, In Loss: 0.0103660, Out Loss: 2.6500323, In Acc: 99.900, Out Acc: 48.890
Epoch: 1725, Step: 69000, In Loss: 0.0102397, Out Loss: 2.6664766, In Acc: 99.910, Out Acc: 48.960
Epoch: 1750, Step: 70000, In Loss: 0.0101420, Out Loss: 2.6662712, In Acc: 99.910, Out Acc: 49.350
Epoch: 1775, Step: 71000, In Loss: 0.0101630, Out Loss: 2.6563343, In Acc: 99.900, Out Acc: 49.170
Epoch: 1800, Step: 72000, In Loss: 0.0101011, Out Loss: 2.6513279, In Acc: 99.920, Out Acc: 49.130
Epoch: 1825, Step: 73000, In Loss: 0.0099533, Out Loss: 2.6581479, In Acc: 99.900, Out Acc: 49.060
Epoch: 1850, Step: 74000, In Loss: 0.0099549, Out Loss: 2.6563024, In Acc: 99.900, Out Acc: 48.980
Epoch: 1875, Step: 75000, In Loss: 0.0099523, Out Loss: 2.6563372, In Acc: 99.900, Out Acc: 48.970
Epoch: 1900, Step: 76000, In Loss: 0.0098964, Out Loss: 2.6565861, In Acc: 99.900, Out Acc: 48.920
Epoch: 1925, Step: 77000, In Loss: 0.0099469, Out Loss: 2.6565640, In Acc: 99.900, Out Acc: 49.020
Epoch: 1950, Step: 78000, In Loss: 0.0098376, Out Loss: 2.6637968, In Acc: 99.900, Out Acc: 49.060
Epoch: 1975, Step: 79000, In Loss: 0.0098091, Out Loss: 2.6626485, In Acc: 99.900, Out Acc: 49.030
Epoch: 2000, Step: 80000, In Loss: 0.0096584, Out Loss: 2.6689839, In Acc: 99.900, Out Acc: 49.320
Epoch: 2025, Step: 81000, In Loss: 0.0097951, Out Loss: 2.6548103, In Acc: 99.900, Out Acc: 49.040
Epoch: 2050, Step: 82000, In Loss: 0.0097316, Out Loss: 2.6618566, In Acc: 99.910, Out Acc: 49.090
Epoch: 2075, Step: 83000, In Loss: 0.0097731, Out Loss: 2.6616193, In Acc: 99.900, Out Acc: 49.120
Epoch: 2100, Step: 84000, In Loss: 0.0097145, Out Loss: 2.6642411, In Acc: 99.900, Out Acc: 49.080
Epoch: 2125, Step: 85000, In Loss: 0.0096693, Out Loss: 2.6640481, In Acc: 99.900, Out Acc: 49.230
Epoch: 2150, Step: 86000, In Loss: 0.0097167, Out Loss: 2.6611012, In Acc: 99.900, Out Acc: 49.110
Epoch: 2175, Step: 87000, In Loss: 0.0096902, Out Loss: 2.6635705, In Acc: 99.900, Out Acc: 49.080
Epoch: 2200, Step: 88000, In Loss: 0.0096811, Out Loss: 2.6636796, In Acc: 99.910, Out Acc: 49.010
Epoch: 2225, Step: 89000, In Loss: 0.0096576, Out Loss: 2.6648948, In Acc: 99.900, Out Acc: 48.950
Epoch: 2250, Step: 90000, In Loss: 0.0096824, Out Loss: 2.6639535, In Acc: 99.900, Out Acc: 49.180
Epoch: 2275, Step: 91000, In Loss: 0.0096400, Out Loss: 2.6631857, In Acc: 99.900, Out Acc: 49.060
Epoch: 2300, Step: 92000, In Loss: 0.0096099, Out Loss: 2.6605757, In Acc: 99.900, Out Acc: 48.990
Epoch: 2325, Step: 93000, In Loss: 0.0095953, Out Loss: 2.6625206, In Acc: 99.900, Out Acc: 48.930
Epoch: 2350, Step: 94000, In Loss: 0.0095969, Out Loss: 2.6655954, In Acc: 99.900, Out Acc: 49.080
Epoch: 2375, Step: 95000, In Loss: 0.0095980, Out Loss: 2.6639121, In Acc: 99.900, Out Acc: 49.180
Epoch: 2400, Step: 96000, In Loss: 0.0096356, Out Loss: 2.6650254, In Acc: 99.900, Out Acc: 49.120
Epoch: 2425, Step: 97000, In Loss: 0.0096028, Out Loss: 2.6643161, In Acc: 99.900, Out Acc: 49.160
Epoch: 2450, Step: 98000, In Loss: 0.0096215, Out Loss: 2.6626340, In Acc: 99.900, Out Acc: 48.950
Epoch: 2475, Step: 99000, In Loss: 0.0095856, Out Loss: 2.6647785, In Acc: 99.900, Out Acc: 49.050
Epoch: 2500, Step: 100000, In Loss: 0.0095943, Out Loss: 2.6656424, In Acc: 99.900, Out Acc: 49.000
