Epoch: 1325, Step: 53000, In Loss: 0.1414666, Out Loss: 2.0289707, In Acc: 97.220, Out Acc: 48.660
Epoch: 1350, Step: 54000, In Loss: 0.1389195, Out Loss: 2.0263461, In Acc: 97.340, Out Acc: 48.810
Epoch: 1375, Step: 55000, In Loss: 0.1375959, Out Loss: 2.0251889, In Acc: 97.320, Out Acc: 48.500
Epoch: 1400, Step: 56000, In Loss: 0.1345137, Out Loss: 2.0425393, In Acc: 97.320, Out Acc: 48.830
Epoch: 1425, Step: 57000, In Loss: 0.1361890, Out Loss: 2.0135894, In Acc: 97.470, Out Acc: 48.550
Epoch: 1450, Step: 58000, In Loss: 0.1368584, Out Loss: 2.0358393, In Acc: 97.360, Out Acc: 48.850
Epoch: 1475, Step: 59000, In Loss: 0.1322550, Out Loss: 2.0276663, In Acc: 97.450, Out Acc: 48.620
Epoch: 1500, Step: 60000, In Loss: 0.1305676, Out Loss: 2.0402976, In Acc: 97.530, Out Acc: 48.590
Epoch: 1525, Step: 61000, In Loss: 0.1287903, Out Loss: 2.0315128, In Acc: 97.670, Out Acc: 48.780
Epoch: 1550, Step: 62000, In Loss: 0.1273268, Out Loss: 2.0461080, In Acc: 97.730, Out Acc: 48.760
Epoch: 1575, Step: 63000, In Loss: 0.1275893, Out Loss: 2.0344101, In Acc: 97.690, Out Acc: 48.750
Epoch: 1600, Step: 64000, In Loss: 0.1258498, Out Loss: 2.0306931, In Acc: 97.740, Out Acc: 48.790
Epoch: 1625, Step: 65000, In Loss: 0.1241928, Out Loss: 2.0432799, In Acc: 97.640, Out Acc: 48.770
Epoch: 1650, Step: 66000, In Loss: 0.1260836, Out Loss: 2.0313565, In Acc: 97.730, Out Acc: 48.690
Epoch: 1675, Step: 67000, In Loss: 0.1238203, Out Loss: 2.0455837, In Acc: 97.750, Out Acc: 49.030
Epoch: 1700, Step: 68000, In Loss: 0.1222762, Out Loss: 2.0404735, In Acc: 97.770, Out Acc: 48.800
Epoch: 1725, Step: 69000, In Loss: 0.1217804, Out Loss: 2.0544524, In Acc: 97.810, Out Acc: 48.650
Epoch: 1750, Step: 70000, In Loss: 0.1211481, Out Loss: 2.0385585, In Acc: 97.840, Out Acc: 48.610
Epoch: 1775, Step: 71000, In Loss: 0.1215670, Out Loss: 2.0370340, In Acc: 97.840, Out Acc: 48.800
Epoch: 1800, Step: 72000, In Loss: 0.1208313, Out Loss: 2.0461578, In Acc: 97.830, Out Acc: 48.760
Epoch: 1825, Step: 73000, In Loss: 0.1204869, Out Loss: 2.0462164, In Acc: 97.840, Out Acc: 48.710
Epoch: 1850, Step: 74000, In Loss: 0.1205766, Out Loss: 2.0528036, In Acc: 97.810, Out Acc: 48.800
Epoch: 1875, Step: 75000, In Loss: 0.1202248, Out Loss: 2.0497094, In Acc: 97.910, Out Acc: 48.920
Epoch: 1900, Step: 76000, In Loss: 0.1200234, Out Loss: 2.0535669, In Acc: 97.790, Out Acc: 48.820
Epoch: 1925, Step: 77000, In Loss: 0.1206937, Out Loss: 2.0412953, In Acc: 97.810, Out Acc: 48.500
